Title,Subtitle,Price,Num,Color
Air Jordan Legacy 312 Low,Younger Kids' Shoe,"{'currency': 'GBP', 'currentPrice': 52.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 52.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Low SE,Older Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 74.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 74.99, 'minimumAdvertisedPrice': None}",,
Jordan,Everyday Crew Socks (3 pairs),"{'currency': 'GBP', 'currentPrice': 15.99, 'discounted': True, 'employeePrice': None, 'fullPrice': 17.95, 'minimumAdvertisedPrice': None}",,
Jordan Flare,Baby and Toddler Shoe,"{'currency': 'GBP', 'currentPrice': 29.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 29.99, 'minimumAdvertisedPrice': None}",,
Air Jordan Legacy 312 Low,Older Kids' Shoe,"{'currency': 'GBP', 'currentPrice': 51.99, 'discounted': True, 'employeePrice': None, 'fullPrice': 79.99, 'minimumAdvertisedPrice': None}",,
Jordan Max Aura 5,Baby/Toddler Shoes,"{'currency': 'GBP', 'currentPrice': 37.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 37.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Mid,Baby/Toddler Shoes,"{'currency': 'GBP', 'currentPrice': 49.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 49.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Hi FlyEase,Older Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 87.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 87.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Mid SE,Men's shoes,"{'currency': 'GBP', 'currentPrice': 139.95, 'discounted': False, 'employeePrice': None, 'fullPrice': 139.95, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Low,Older Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 74.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 74.99, 'minimumAdvertisedPrice': None}",,
Zion 3,Older Kids' Basketball Shoes,"{'currency': 'GBP', 'currentPrice': 84.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 84.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Low Alt,Baby/Toddler Shoes,"{'currency': 'GBP', 'currentPrice': 44.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 44.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Low G,Golf Shoes,"{'currency': 'GBP', 'currentPrice': 134.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 134.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Mid,Younger Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 64.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 64.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Low SE,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 129.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Jordan Dri-FIT Sport,Men's Air Fleece Trousers,"{'currency': 'GBP', 'currentPrice': 55.99, 'discounted': True, 'employeePrice': None, 'fullPrice': 79.99, 'minimumAdvertisedPrice': None}",,
Jordan Stadium 90,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 84.49, 'discounted': True, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Jordan Flare,Younger Kids' Shoe,"{'currency': 'GBP', 'currentPrice': 34.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 34.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Mid,Shoes,"{'currency': 'GBP', 'currentPrice': 129.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Mid,Younger Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 64.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 64.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Mid SE,Baby/Toddler Shoes,"{'currency': 'GBP', 'currentPrice': 49.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 49.99, 'minimumAdvertisedPrice': None}",,
Air Jordan Legacy 312 Low,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 77.99, 'discounted': True, 'employeePrice': None, 'fullPrice': 129.95, 'minimumAdvertisedPrice': None}",,
Jordan 1 Low Alt,Younger Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 54.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 54.99, 'minimumAdvertisedPrice': None}",,
Jordan Dri-FIT Sport,Men's Air Fleece Full-Zip Hoodie,"{'currency': 'GBP', 'currentPrice': 62.99, 'discounted': True, 'employeePrice': None, 'fullPrice': 89.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Elevate Low,Women's Shoes,"{'currency': 'GBP', 'currentPrice': 134.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 134.99, 'minimumAdvertisedPrice': None}",,
Jordan,Everyday Crew Socks (3 pairs),"{'currency': 'GBP', 'currentPrice': 19.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 19.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Low SE,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 129.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Jordan Brooklyn Fleece,Men's Printed Pullover Hoodie,"{'currency': 'GBP', 'currentPrice': 69.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 69.99, 'minimumAdvertisedPrice': None}",,
